id,name,type,power,accuracy,pp,damage_class,effect
68,counter,fighting,,100,20,physical,"Targets the last opposing Pokémon to hit the user with a physical move this turn. Inflicts twice the damage that move did to the user. If there is no eligible target, this move will fail. Type immunity applies, but other type effects are ignored. This move cannot be copied by mirror move, nor selected by assist or metronome."
69,seismic-toss,fighting,,100,20,physical,"Inflicts damage equal to the user's level. Type immunity applies, but other type effects are ignored."
70,strength,normal,80,100,15,physical,"Inflicts regular damage."
71,absorb,grass,20,100,25,special,"Inflicts regular damage. Drains half the damage inflicted to heal the user."
72,mega-drain,grass,40,100,15,special,"Inflicts regular damage. Drains half the damage inflicted to heal the user."
73,leech-seed,grass,,90,10,status,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken. Has no effect on grass Pokémon. The seed remains until the target leaves the field. The user takes damage instead of being healed if the target has liquid ooze. rapid spin will remove this effect. This effect is passed on by baton pass."
74,growth,normal,,,20,status,"Raises the user's Attack and Special Attack by one stage each. During sunny day, raises both stats by two stages."
75,razor-leaf,grass,55,95,25,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
76,solar-beam,grass,120,100,10,special,"Inflicts regular damage. User charges for one turn before attacking. During sunny day, the charge turn is skipped. During hail, rain dance, or sandstorm, power is halved. This move cannot be selected by sleep talk."
77,poison-powder,poison,,75,35,status,"Poisons the target."
78,stun-spore,grass,,75,30,status,"Paralyzes the target."
79,sleep-powder,grass,,75,15,status,"Puts the target to sleep."
80,petal-dance,grass,120,100,10,special,"Inflicts regular damage. User is forced to attack with this move for 2–3 turns,selected at random. After the last hit, the user becomes confused. safeguard does not protect against the confusion from this move."
81,string-shot,bug,,95,40,status,"Lowers the target's Speed by two stages."
82,dragon-rage,dragon,,100,10,special,"Inflicts exactly 40 damage."
83,fire-spin,fire,35,85,15,special,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect."
84,thunder-shock,electric,40,100,30,special,"Inflicts regular damage. Has a 10% chance to paralyze the target."
85,thunderbolt,electric,90,100,15,special,"Inflicts regular damage. Has a 10% chance to paralyze the target."
86,thunder-wave,electric,,90,20,status,"Paralyzes the target."
87,thunder,electric,110,70,10,special,"Inflicts regular damage. Has a 30% chance to paralyze the target. During rain dance, this move has 100% accuracy. It also has a (100 - accuracy)% chance to break through the protection of protect and detect. During sunny day, this move has 50% accuracy."
88,rock-throw,rock,50,90,15,physical,"Inflicts regular damage."
89,earthquake,ground,100,100,10,physical,"Inflicts regular damage. If the target is in the first turn of dig, this move will hit with double power."
90,fissure,ground,,30,5,physical,"Inflicts damage equal to the target's max HP. Ignores accuracy and evasion modifiers. This move's accuracy is 30% plus 1% for each level the user is higher than the target. If the user is a lower level than the target, this move will fail. Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting. The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target. However, they will not give this move a chance to break through detect or protect."
91,dig,ground,80,100,10,physical,"Inflicts regular damage. User digs underground for one turn, becoming immune to attack, and hits on the second turn. During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate. The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard. This move cannot be selected by sleep talk."
92,toxic,poison,,90,10,status,"Badly poisons the target. Never misses when used by a poison-type Pokémon."
93,confusion,psychic,50,100,25,special,"Inflicts regular damage. Has a 10% chance to confuse the target."
94,psychic,psychic,90,100,10,special,"Inflicts regular damage. Has a 10% chance to lower the target's Special Defense by one stage."
95,hypnosis,psychic,,60,20,status,"Puts the target to sleep."
96,meditate,psychic,,,40,status,"Raises the user's Attack by one stage."
97,agility,psychic,,,30,status,"Raises the user's Speed by two stages."
98,quick-attack,normal,40,100,30,physical,"Inflicts regular damage."
99,rage,normal,20,100,20,physical,"Inflicts regular damage. Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage."
100,teleport,psychic,,,20,status,"Does nothing. Wild battles end immediately."
101,night-shade,ghost,,100,15,special,"Inflicts damage equal to the user's level. Type immunity applies, but other type effects are ignored."
102,mimic,normal,,,10,status,"This move is replaced by the target's last successfully used move, and its PP changes to 5. If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail. This effect vanishes when the user leaves the field. If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail. This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore."
103,screech,normal,,85,40,status,"Lowers the target's Defense by two stages."
104,double-team,normal,,,15,status,"Raises the user's evasion by one stage."
105,recover,normal,,,5,status,"Heals the user for half its max HP."
106,harden,normal,,,30,status,"Raises the user's Defense by one stage."
107,minimize,normal,,,10,status,"Raises the user's evasion by two stages. stomp and steamroller have double power against Pokémon that have used this move since entering the field."
108,smokescreen,normal,,100,20,status,"Lowers the target's accuracy by one stage."
109,confuse-ray,ghost,,100,10,status,"Confuses the target."
110,withdraw,water,,,40,status,"Raises the user's Defense by one stage."
111,defense-curl,normal,,,40,status,"Raises user's Defense by one stage. After this move is used, the power of ice ball and rollout are doubled until the user leaves the field."
112,barrier,psychic,,,20,status,"Raises the user's Defense by two stages."
113,light-screen,psychic,,,30,status,"Erects a barrier around the user's side of the field that reduces damage from special attacks by half for five turns. In double battles, the reduction is 1/3. Critical hits are not affected by the barrier. If the user is holding light clay, the barrier lasts for eight turns. brick break or defog used by an opponent will destroy the barrier."
114,haze,ice,,,30,status,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field. This does not count as a stat reduction for the purposes of clear body or white smoke."
115,reflect,psychic,,,20,status,"Erects a barrier around the user's side of the field that reduces damage from physical attacks by half for five turns. In double battles, the reduction is 1/3. Critical hits are not affected by the barrier. If the user is holding light clay, the barrier lasts for eight turns. brick break or defog used by an opponent will destroy the barrier."
116,focus-energy,normal,,,30,status,"User's critical hit rate is two levels higher until it leaves the field. If the user has already used focus energy since entering the field, this move will fail. This effect is passed on by baton pass."
117,bide,normal,,,10,physical,"User waits for two turns. On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it. Damage inflicted is typeless. This move cannot be selected by sleep talk."
118,metronome,normal,,,10,status,"Selects any move at random and uses it. Moves the user already knows are not eligible. Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move. This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk."
119,mirror-move,flying,,,20,status,"Uses the last move targeted at the user by a Pokémon still on the field. A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count. If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail. Moves that failed, missed, had no effect, or were blocked are still copied. Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead. The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up. This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore."
120,self-destruct,normal,200,100,5,physical,"User faints, even if the attack fails or misses. Inflicts regular damage."
121,egg-bomb,normal,100,75,10,physical,"Inflicts regular damage."
122,lick,ghost,30,100,30,physical,"Inflicts regular damage. Has a 30% chance to paralyze the target."
123,smog,poison,30,70,20,special,"Inflicts regular damage. Has a 40% chance to poison the target."
124,sludge,poison,65,100,20,special,"Inflicts regular damage. Has a 30% chance to poison the target."
125,bone-club,ground,65,85,20,physical,"Inflicts regular damage. Has a 10% chance to make the target flinch."
126,fire-blast,fire,110,85,5,special,"Inflicts regular damage. Has a 10% chance to burn the target."
127,waterfall,water,80,100,15,physical,"Inflicts regular damage. Has a 20% chance to make the target flinch."
128,clamp,water,35,85,15,physical,"Inflicts regular damage. For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn. The user continues to use other moves during this time. If the user leaves the field, this effect ends. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use. rapid spin cancels this effect."
129,swift,normal,60,,20,special,"Inflicts regular damage. Ignores accuracy and evasion modifiers."
130,skull-bash,normal,130,100,10,physical,"Inflicts regular damage. Raises the user's Defense by one stage. User then charges for one turn before attacking. This move cannot be selected by sleep talk."
131,spike-cannon,normal,20,100,15,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
132,constrict,normal,10,100,35,physical,"Inflicts regular damage. Has a 10% chance to lower the target's Speed by one stage."
133,amnesia,psychic,,,20,status,"Raises the user's Special Defense by two stages."
134,kinesis,psychic,,80,15,status,"Lowers the target's accuracy by one stage."
135,soft-boiled,normal,,,5,status,"Heals the user for half its max HP."
136,high-jump-kick,fighting,130,90,10,physical,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down. This move cannot be used while gravity is in effect."
137,glare,normal,,100,30,status,"Paralyzes the target."
138,dream-eater,psychic,100,100,15,special,"Fails if not used on a sleeping Pokémon. Inflicts regular damage. Drains half the damage inflicted to heal the user."
139,poison-gas,poison,,90,40,status,"Poisons the target."
140,barrage,normal,15,85,20,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
141,leech-life,bug,80,100,10,physical,"Inflicts regular damage. Drains half the damage inflicted to heal the user."
142,lovely-kiss,normal,,75,10,status,"Puts the target to sleep."
143,sky-attack,flying,140,90,5,physical,"Inflicts regular damage. User charges for one turn before attacking. Critical hit chance is one level higher than normal. Has a 30% chance to make the target flinch. This move cannot be selected by sleep talk."
144,transform,normal,,,10,status,"User copies the target's species, weight, type, ability, calculated stats (except HP), and moves. Copied moves will all have 5 PP remaining. IVs are copied for the purposes of hidden power, but stats are not recalculated. choice band, choice scarf, and choice specs stay in effect, and the user must select a new move. This move cannot be copied by mirror move, nor forced by encore."
145,bubble,water,40,100,30,special,"Inflicts regular damage. Has a 10% chance to lower the target's Speed by one stage."
146,dizzy-punch,normal,70,100,10,physical,"Inflicts regular damage. Has a 20% chance to confuse the target."
147,spore,grass,,100,15,status,"Puts the target to sleep."
148,flash,normal,,100,20,status,"Lowers the target's accuracy by one stage."
149,psywave,psychic,,100,15,special,"Inflicts typeless damage between 50% and 150% of the user's level, selected at random in increments of 10%."
150,splash,normal,,,40,status,"Does nothing. This move cannot be used while gravity is in effect."
151,acid-armor,poison,,,20,status,"Raises the user's Defense by two stages."
152,crabhammer,water,100,90,10,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
153,explosion,normal,250,100,5,physical,"User faints, even if the attack fails or misses. Inflicts regular damage."
154,fury-swipes,normal,18,80,15,physical,"Inflicts regular damage. Hits 2–5 times in one turn. Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times. Averages to 3 hits per use."
155,bonemerang,ground,50,90,10,physical,"Inflicts regular damage. Hits twice in one turn."
156,rest,psychic,,,5,status,"User falls to sleep and immediately regains all its HP. If the user has another major status effect, sleep will replace it. The user will always wake up after two turns, or one turn with early bird. This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit. It also fails if the Pokémon is at full health or is already asleep."
157,rock-slide,rock,75,90,10,physical,"Inflicts regular damage. Has a 30% chance to make the target flinch."
158,hyper-fang,normal,80,90,15,physical,"Inflicts regular damage. Has a 10% chance to make the target flinch."
159,sharpen,normal,,,30,status,"Raises the user's Attack by one stage."
160,conversion,normal,,,30,status,"User's type changes to the type of one of its moves, selected at random. hidden power and weather ball are treated as normal. Only moves with a different type are eligible, and curse is never eligible. If the user has no suitable moves, this move will fail."
161,tri-attack,normal,80,100,10,special,"Inflicts regular damage. Has a 20% chance to burn, freeze, or paralyze the target. One of these effects is selected at random; they do not each have independent chances to occur."
162,super-fang,normal,,90,10,physical,"Inflicts typeless damage equal to half the target's remaining HP."
163,slash,normal,70,100,20,physical,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
164,substitute,normal,,,10,status,"Transfers 1/4 the user's max HP into a doll that absorbs damage and causes most negative move effects to fail. If the user leaves the field, the doll will vanish. If the user cannot pay the HP cost, this move will fail. The doll takes damage as normal, using the user's stats and types, and will break when its HP reaches zero. Self-inflicted damage from confusion or recoil is not absorbed. Healing effects from opponents ignore the doll and heal the user as normal. Moves that work based on the user's HP still do so; the doll's HP does not influence any move. The doll will block major status effects, confusion, and flinching. The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect. Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate. Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry. magic coat still works as normal, even against moves the doll would block. Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal. It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn. A Pokémon affected by yawn before summoning the doll will still fall to sleep. The doll blocks intimidate, but all other abilities act as though the doll did not exist. If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked. life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll. The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes. The doll is passed on by baton pass. It keeps its existing HP, but uses the replacement Pokémon's stats and types for damage calculation. All other effects work as normal."
165,struggle,normal,50,,1,physical,"Inflicts typeless regular damage. User takes 1/4 its max HP in recoil. Ignores accuracy and evasion modifiers. This move is used automatically when a Pokémon cannot use any other move legally, e.g., due to having no PP remaining or being under the effect of both encore and torment at the same time. This move's recoil is not treated as recoil for the purposes of anything that affects recoil, such as the ability rock head. It also is not prevented by magic guard. This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist or metronome, nor forced by encore."
166,sketch,normal,,,1,status,"Permanently replaces itself with the target's last used move. If that move is chatter or struggle, this move will fail. This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore."
167,triple-kick,fighting,10,90,10,physical,"Inflicts regular damage. Hits three times in the same turn. The second hit has double power, and the third hit has triple power. Each hit has a separate accuracy check, and this move stops if a hit misses. skill link does not apply."
168,thief,dark,60,100,25,physical,"Inflicts regular damage. If the target is holding an item and the user is not, the user will permanently take the item. Damage is still inflicted if an item cannot be taken. Pokémon with sticky hold or multitype are immune to the item theft effect. The target cannot recover its item with recycle. This move cannot be selected by assist or metronome."
169,spider-web,bug,,,10,status,"The target cannot switch out normally. Ignores accuracy and evasion modifiers. This effect ends when the user leaves the field. The target may still escape by using baton pass, u turn, or a shed shell. Both the user and the target pass on this effect with baton pass."
170,mind-reader,normal,,,5,status,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit. This move itself also ignores accuracy and evasion modifiers. One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target. This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly. If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection. This effect is passed on by baton pass."
171,nightmare,ghost,,100,15,status,"Only works on sleeping Pokémon. Gives the target a nightmare, damaging it for 1/4 its max HP every turn. If the target wakes up or leaves the field, this effect ends."
172,flame-wheel,fire,60,100,25,physical,"Inflicts regular damage. Has a 10% chance to burn the target. Frozen Pokémon may use this move, in which case they will thaw."
173,snore,normal,50,100,15,special,"Only usable if the user is sleeping. Inflicts regular damage. Has a 30% chance to make the target flinch."
174,curse,ghost,,,10,status,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn. Otherwise: Lowers the user's Speed by one stage, and raises its Attack and Defense by one stage each. The curse effect is passed on by baton pass. This move cannot be copied by mirror move."
175,flail,normal,,100,15,physical,"Inflicts regular damage. Power varies inversely with the user's proportional remaining HP. 64 detectar_saltos.sh fetch_moves.sh pokemon_base_stats.csv pokemon_moves.csv updated_pokemon_base_stats.csv current HP / max HP | Power -----------------------: | ----: 0– 1 | 200 2– 5 | 150 6–12 | 100 13–21 | 80 22–42 | 40 43–64 | 20 "
176,conversion-2,normal,,,30,status,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it. The new type is selected at random and cannot be a type the user already is. If there is no eligible new type, this move will fail."
177,aeroblast,flying,100,95,5,special,"Inflicts regular damage. User's critical hit rate is one level higher when using this move."
178,cotton-spore,grass,,100,40,status,"Lowers the target's Speed by two stages."
179,reversal,fighting,,100,15,physical,"Inflicts regular damage. Power varies inversely with the user's proportional remaining HP. 64 detectar_saltos.sh fetch_moves.sh pokemon_base_stats.csv pokemon_moves.csv updated_pokemon_base_stats.csv current HP / max HP | Power -----------------------: | ----: 0– 1 | 200 2– 5 | 150 6–12 | 100 13–21 | 80 22–42 | 40 43–64 | 20 "
180,spite,ghost,,100,10,status,"Lowers the PP of the target's last used move by 4. If the target hasn't used a move since entering the field, if it tried to use a move this turn and failed, or if its last used move has 0 PP remaining, this move will fail."
181,powder-snow,ice,40,100,25,special,"Inflicts regular damage. Has a 10% chance to freeze the target."
